uid,labname,numTrials,dayofweek,hour
user_4,project1,1,4,5
user_4,project1,2,4,5
user_4,project1,3,4,5
user_4,project1,4,4,5
user_4,project1,5,4,5
user_4,project1,6,4,5
user_4,project1,7,4,5
user_4,laba04,1,4,11
user_4,laba04,2,4,11
user_4,laba04,3,4,11
user_4,laba04s,1,4,11
user_4,laba04s,2,4,11
user_4,laba04s,3,4,12
user_17,project1,1,5,7
user_30,laba04,1,5,13
user_2,laba04,1,5,13
user_2,laba04s,1,5,13
user_2,laba04s,2,5,13
user_2,laba04s,3,5,14
user_30,laba04s,1,5,14
user_2,laba04s,4,5,15
user_14,laba04,1,5,15
user_14,laba04,2,5,15
user_14,laba04,3,5,15
user_14,laba04,4,5,15
user_14,laba04,5,5,15
user_14,laba04,6,5,15
user_2,laba04s,5,5,15
user_14,laba04,7,5,15
user_14,laba04,8,5,15
user_14,laba04,9,5,15
user_14,laba04,10,5,15
user_14,laba04,11,5,15
user_12,laba04,1,5,17
user_12,laba04,2,5,17
user_12,laba04,3,5,17
user_12,laba04,4,5,17
user_14,laba04,12,5,18
user_2,laba04s,6,5,18
user_14,laba04,13,5,18
user_14,laba04,14,5,18
user_14,laba04,15,5,19
user_14,laba04,16,5,19
user_2,laba04s,7,5,19
user_14,laba04,17,5,20
user_14,laba04,18,5,20
user_2,laba04s,8,5,21
user_14,laba04,19,5,21
user_8,laba04,1,5,21
user_14,laba04s,1,5,22
user_14,laba04s,2,5,22
user_14,laba04s,3,5,22
user_14,laba04s,4,6,0
user_2,laba04s,9,6,5
user_14,laba04s,5,6,9
user_14,laba04s,6,6,10
user_8,laba04,2,6,10
user_8,laba04s,1,6,10
user_8,laba04s,2,6,10
user_29,laba04,1,6,11
user_8,laba04s,3,6,11
user_8,laba04s,4,6,11
user_8,laba04s,5,6,13
user_8,laba04s,6,6,13
user_29,laba04s,1,6,18
user_29,laba04s,2,6,18
user_4,project1,8,6,21
user_4,project1,9,6,21
user_4,project1,10,6,21
user_4,project1,11,6,21
user_22,laba04,1,0,11
user_22,laba04s,1,0,11
user_16,laba04,1,0,14
user_16,laba04,2,0,14
user_16,lab03,7,0,15
user_16,lab03s,1,0,15
user_16,laba04,3,0,15
user_16,laba04,4,0,15
user_0,lab02,1,0,17
user_0,lab02,2,0,17
user_19,laba04,1,0,19
user_19,laba04,2,0,19
user_19,laba04,3,0,19
user_19,laba04,4,0,19
user_25,laba04,1,0,19
user_25,laba04,2,0,19
user_19,laba04,5,1,17
user_21,laba04,1,1,17
user_21,laba04,2,1,17
user_21,laba04,3,1,17
user_21,laba04,4,1,17
user_21,laba04,5,1,18
user_19,laba04,6,1,18
user_19,laba04,7,1,18
user_21,laba04,6,1,19
user_21,laba04,7,1,20
user_21,laba04,8,1,20
user_25,laba04,3,1,20
user_19,laba04,8,1,22
user_30,project1,1,2,12
user_10,code_rvw,3,2,13
user_24,laba04,1,2,13
user_21,laba04,9,2,18
user_21,laba04,10,2,18
user_21,laba04,11,2,19
user_21,laba04,12,2,19
user_21,laba04,13,2,19
user_21,laba04,14,2,19
user_21,laba04,15,2,19
user_21,laba04s,1,2,20
user_28,laba04,1,2,21
user_28,laba04,2,2,21
user_21,laba04s,2,2,22
user_21,laba04s,3,2,22
user_21,laba04s,4,2,22
user_31,laba04,1,3,0
user_31,laba04s,1,3,0
user_30,project1,2,3,7
user_24,laba04,2,3,8
user_24,laba04,3,3,8
user_19,laba04,9,3,11
user_19,laba04,10,3,12
user_19,laba04,11,3,12
user_19,laba04,12,3,13
user_19,laba04,13,3,13
user_19,laba04,14,3,14
user_17,laba04,1,3,14
user_17,laba04,2,3,14
user_3,laba04,1,3,20
user_3,laba04s,1,3,20
user_4,project1,12,3,21
user_4,project1,13,3,21
user_4,project1,14,3,21
user_4,project1,15,3,21
user_4,project1,16,3,21
user_4,project1,17,3,21
user_4,project1,18,3,21
user_4,project1,19,3,21
user_4,project1,20,3,21
user_4,project1,21,4,10
user_19,laba04,15,4,16
user_4,project1,22,4,17
user_4,project1,23,4,17
user_4,project1,24,4,17
user_4,project1,25,4,17
user_4,project1,26,4,17
user_4,project1,27,4,22
user_24,laba04s,1,5,3
user_26,laba04,1,5,7
user_26,laba04,2,5,7
user_26,laba04,3,5,7
user_26,laba04,4,5,7
user_26,laba04,5,5,7
user_26,laba04s,1,5,7
user_26,laba04,6,5,8
user_26,laba04,7,5,8
user_10,laba04,1,5,8
user_10,laba04s,1,5,8
user_10,laba04s,2,5,8
user_26,code_rvw,1,5,9
user_15,code_rvw,5,5,9
user_17,laba04,3,5,11
user_17,laba04,4,5,11
user_17,laba04,5,5,11
user_17,laba04,6,5,11
user_17,laba04,7,5,12
user_17,laba04s,1,5,12
user_17,laba04s,2,5,12
user_17,laba04s,3,5,12
user_8,code_rvw,16,5,14
user_25,laba04,4,5,14
user_25,laba04,5,5,15
user_25,laba04,6,5,15
user_19,laba04,16,5,15
user_25,laba04,7,5,15
user_25,laba04,8,5,16
user_25,laba04,9,5,16
user_28,laba04,3,5,16
user_28,laba04,4,5,17
user_28,laba04,5,5,17
user_28,laba04,6,5,17
user_28,laba04,7,5,17
user_28,laba04,8,5,17
user_19,laba04,17,5,17
user_19,laba04,18,5,17
user_13,laba04,1,5,17
user_13,laba04,2,5,18
user_13,laba04,3,5,18
user_25,laba04,10,5,18
user_25,laba04,11,5,18
user_13,laba04,4,5,19
user_13,laba04,5,5,19
user_13,laba04,6,5,20
user_19,laba04,19,5,20
user_19,laba04,20,5,20
user_19,laba04,21,5,20
user_19,laba04,22,5,20
user_19,laba04,23,5,21
user_25,laba04,12,5,21
user_25,laba04,13,5,21
user_25,laba04,14,5,21
